Title,Year,Agency,Keywords
Do Firms Mitigate or Magnify Capital Misallocation? Evidence from Plant-Level Data,2017,Triangle,plant level;capital misallocation;data
The Micro-Level Anatomy of the Labor Share Decline,2020,Triangle,share decline;micro level
"Good Dispersion, Bad Dispersion",2019,Triangle,dispersion;good
What Do Unions Do? Incentives and Investments,2023,Maryland,unions incentives;investments
Racial/Ethnic Transition and Hierarchy Among Ascending Neighborhoods,2019,USC,transition hierarchy;racial ethnic
The Impact of Medicaid Expansion on Employer Provision of Health Insurance,2019,Minnesota,provision health;medicaid expansion;insurance
Employer-Sponsored Insurance Offers: Largely Stable in 2014 Following ACA Implementation,2016,Minnesota,stable 2014;implementation;2014 following
The impact of Medicaid expansion on employer provision of health insurance,2018,Minnesota,provision health;medicaid expansion;insurance
Employer-sponsored insurance offers: largely stable in 2014 following ACA implementation,2016,Minnesota,stable 2014;implementation;2014 following
"Union, Premium Cost, and the Provision of Employment-Based Health Insurance",2018,Austin,union premium;provision employment
Essays on Health and Abuse,2018,Austin,health abuse;essays health
Examining the Effects of New Transit Lines on Commuting Using Restricted-Access Census Microdata,2022,Texas,using restricted;examining effects;access census;census microdata
Rail transit and economic growth: documenting evidences from a panel data analysis of eighteen metropolitan areas in the United States,2017,Texas,united states;evidences;analysis eighteen;areas;data;documenting;economic
Developing a Two-Dimensional Propensity Score Matching Method for Longitudinal Quasi-Experimental Studies: A Focus on in Travel Behavior and the Built Environment,2017,Texas,travel behavior;longitudinal;behavior built;built environment;developing;dimensional
Economic Development Near the Rail Transit Stations: Evidences in the United States During 2002-2013,2018,Texas,united states;near;2002 2013;development
Reinventing the Methodology for Longitudinal Quasi-Experimental Studies: Hypothetical Cases for Travel Exploring the  Behavior and the Built Environment,2018,Texas,travel exploring;hypothetical;behavior built;built environment;cases
Effects of new transit lines on commuting: Evidence from restricted-use Census Bureau microdata,2024,Texas,use census;evidence restricted;bureau microdata;census bureau
Exploring the Behavioral Impact of Public Transportation Infrastructure: A Longitudinal Quasi-Experimental Study in the United States,2018,Texas,united states;longitudinal;behavioral impact;experimental;exploring
Public Transit and Economic Growth: Jobs for Whom?,2016,Texas,transit economic;public transit
Evaluating the Employment Impact of Rail Transit Investment: A Longitudinal Analysis in the United States,2016,Texas,united states;investment;analysis united;employment;evaluating
Bayesian Approaches to File Linking with Faulty Data,2017,Triangle,linking faulty;file linking
File Matching with Faulty Continuous Matching Variables,2017,Triangle,matching;variables
Community Level Resources Help-seeking Behavior for Intimate Partner Violence,2018,Texas,violence;intimate partner;behavior intimate
The Contextual  Influences  of Police  and Social  Service  Resources on  Formal  Help-seeking  for Intimate  Partner Violence,2020,Texas,violence;partner;contextual influences;formal;help
The Effect of Child Support on Selection into Marriage and Fertility,2020,Nebraska,support selection;selection marriage
Towards a Distribution of Household Income: Linking Survey Data to Administrative Data,2018,Washington,data;survey;linking
Modeling and Forecasting Income Inequality in the United States,2018,Washington,united states;modeling forecasting
Regulating Mismeasured Pollution: Implications of Firm Heterogeneity for Environmental Policy,2018,Berkeley,regulating mismeasured;pollution implications;policy
Consequences of the Clean Water Act and the Demand for Water Quality,2017,Berkeley,water;quality;demand
The Incidence of Carbon Taxes in U.S. Manufacturing: Lessons from Energy Cost Pass-Through,2016,Berkeley,taxes manufacturing;pass;manufacturing lessons
"Why is Pollution from U.S. Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade",2018,Berkeley,trade;roles environmental;regulation productivity
Consequences of the Clean Water Act and the Demand for Water Quality,2017,Berkeley,water;quality;demand
The Incidence of Carbon Taxes in U.S. Manufacturing: Lessons from Energy Cost Pass-Through,2016,Berkeley,taxes manufacturing;pass;manufacturing lessons
Energy Cost Pass-Through in US Manufacturing: Estimates and Implications for Carbon Taxes,2019,Berkeley,taxes;pass manufacturing;manufacturing estimates
"Energy Prices, Pass-Through, and Incidence in U.S. Manufacturing",2016,Berkeley,prices pass;pass incidence
Regulating Mismeasured Pollution: Implications of Firm Heterogeneity for Environmental Policy,2018,Berkeley,regulating mismeasured;pollution implications;policy
Consequences of the Clean Water Act and the Demand for Water Quality,2019,Berkeley,water;quality;demand
The Effects of the Real Oil Price on Regional Wage Dispersion,2017,Minnesota,wage dispersion;regional wage;real oil
The Effects of Oil Prices on Regional Wage Dispersion,2015,Minnesota,wage dispersion;regional wage
The Effects of the Real Oil Price on Regional Wage Dispersion,2017,Minnesota,wage dispersion;regional wage;real oil
Creative Destruction? The Effects of E-Commerce on Demand and Productivity for Department Stores,2018,Triangle,stores;productivity department;effects commerce
Essays on E-Commerce and Retail,2019,Triangle,retail;essays commerce
Heterogeneous Firm Responses to Technological Change: Market Structure and Long-Run Dynamics,2019,Triangle,technological change;long run;change market
The Life Cycle of Plants in India and Mexico,2014,Chicago,plants india;mexico
The Reallocation Myth,2018,Chicago,reallocation myth
Missing Growth from Creative Destruction,2019,Chicago,missing growth;growth creative
The Life Cycle of Plants in India and Mexico,2012,Chicago,plants india;mexico
A Global View of Creative Destruction,2019,Chicago,view creative;global view
The Industrial Revolution in Services,2019,Chicago,services;revolution
Missing Growth from Creative Destruction,2018,Chicago,missing growth;growth creative
The Industrial Revolution in Services,2021,Chicago,services;revolution
The Industrial Revolution in Services,2019,Chicago,services;revolution
Misallocation or Mismeasurement?,2020,Chicago,mismeasurement;misallocation
The Industrial Revolution in Services,2023,Chicago,services;revolution
Misallocation and Manufacturing TFP in India and China,2009,Chicago,tfp india;misallocation manufacturing
Missing Growth from Creative Destruction,2017,Chicago,missing growth;growth creative
Misallocation or Mismeasurement?,2017,Chicago,mismeasurement;misallocation
How Destructive is Innovation?,2017,Chicago,innovation;destructive
Misallocation and Manufacturing TFP in India and China,2009,Chicago,tfp india;misallocation manufacturing
How Destructive is Innovation?,2018,Chicago,innovation;destructive
The Life Cycle of Plants in India and Mexico,2014,Chicago,plants india;mexico
Should My Car Move or Should I? A Model of Residential and Commuting Choices,2016,Chicago,residential commuting;model residential
The volume of TV advertisements during the ACA’s first enrollment period was associated with increased insurance coverage,2017,Minnesota,volume tv;enrollment period;aca enrollment;advertisements
R&D or R vs. D? Firm Innovation Strategy and Equity Ownership,2020,Texas,vs firm;strategy equity
"The Power of Prediction: Predictive Analytics, Workplace Complements, and Business Performance",2021,Boston,workplace complements;predictive analytics;prediction predictive
Management for the Analytics Age,2022,Boston,management analytics;analytics age
Economies Before Scale: Survival and Performance of Young Plants in the Age of Cloud Computing,2018,Boston,young plants;performance;age cloud;cloud computing
" Information technology, firm size, and industrial concentration",2023,Boston,technology firm;size industrial
"The Power of Prediction: Predictive Analytics, Workplace Complements, and Business Performance",2021,Boston,workplace complements;predictive analytics;prediction predictive
Strategic Fit in Digital Transformation: Exploration vs. Exploitation in the Age of Cloud Computing,2019,Boston,vs exploitation;exploitation age;age cloud;cloud computing
The Servicification of the U.S. Economy: The Role of Startups versus Incumbent Firms,2021,Boston,versus incumbent;startups versus;servicification economy
Firm Responses to State Hiring Subsidies: Regression Discontinuity Evidence from a Tax Credit Formula,2023,Baruch,tax credit;hiring;credit formula;discontinuity;evidence
The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights,2022,Baruch,weights;effects firm;bureau sampling;census
"Taken by Storm: Hurricanes, Migrant Networks, and US Immigration",2017,Philadelphia,taken storm;storm hurricanes
"Taken by Storm: Hurricanes, Migrant Networks, and US Immigration",2020,Philadelphia,taken storm;storm hurricanes
Combining Restricted-Access Census and Department of Homeland Security Data to Generate Novel Immigration Estimates,2021,Philadelphia,security data;estimates;access census;census department;combining
"Taken by Storm: Hurricanes, Migrant Networks, and US Immigration",2017,Philadelphia,taken storm;storm hurricanes
Medicare Savings Program Enrollees and Eligible Non-Enrollees,2017,Washington,enrollees;savings program
Aggregating from Micro to Macro Patterns of Trade,2017,Baruch,trade;patterns
Accounting for Trade Patterns,2018,Baruch,trade patterns;accounting trade
Aggregating from Micro to Macro Patterns of Trade,2018,Baruch,trade;patterns
Aggregating from Micro to Macro Patterns of Trade,2017,Baruch,trade;patterns
Aggregating from Micro to Macro Patterns of Trade,2017,Baruch,trade;patterns
Social Capital and Labor Market Networks,2017,Irvine,social capital;networks
"Seeing is Believing: The Impact of Local Economic Conditions on Firm Expectations, Employment and Investment",2018,UIUC,seeing believing;expectations;believing impact;conditions;economic
Predictive Analytics and Centralization of Authority,2023,Triangle,predictive analytics;centralization authority
